ZIP Code,Dest Zone,Beyond
00501,7,E
00544,7,E
01001,7,B
01002,7,E
01003,7,E
01004,7,E
01005,7,H
01007,7,D
01013,7,C
01014,7,C
01020,7,C
01021,7,C
01022,7,D
01027,7,E
01028,7,C
01030,7,B
01031,7,F
01033,7,D
01034,7,C
01036,7,C
01038,7,E
01040,7,C
01041,7,C
01053,7,E
01056,7,D
01057,7,D
01059,7,E
01060,7,E
01061,7,D
01063,7,D
01069,7,D
01071,7,C
01075,7,D
01077,7,B
01079,7,D
01080,7,E
01081,7,D
01082,7,E
01083,7,E
01085,7,B
01086,7,B
01089,7,C
01090,7,C
01092,7,E
01093,7,E
01095,7,C
01101,7,C
01102,7,C
01103,7,C
01104,7,C
01105,7,C
01106,7,B
01107,7,C
01108,7,C
01109,7,C
01111,7,C
01114,7,C
01115,7,C
01116,7,C
01118,7,C
01119,7,C
01128,7,C
01129,7,C
01133,7,C
01138,7,C
01139,7,C
01144,7,C
01151,7,C
01152,7,C
01199,7,C
01201,7,H
01202,7,H
01203,7,H
01220,7,H
01225,7,G
01226,7,F
01227,7,F
01229,7,F
01230,7,F
01236,7,H
01237,7,E
01238,7,F
01240,7,F
01244,7,I
01247,7,I
01252,7,F
01254,7,H
01257,7,G
01258,7,F
01260,7,F
01262,7,G
01263,7,F
01264,7,G
01266,7,E
01267,7,E
01301,7,G
01302,7,F
01342,7,F
01349,7,G
01351,7,F
01364,7,L
01373,7,F
01375,7,F
01376,7,G
01420,7,G
01430,7,F
01431,7,E
01432,7,E
01433,7,H
01434,7,E
01436,7,G
01440,7,E
01450,7,E
01451,7,F
01453,7,D
01460,7,F
01462,7,E
01463,7,E
01464,7,F
01469,7,E
01470,7,E
01471,7,E
01472,7,F
01473,7,H
01475,7,E
01501,7,E
01503,7,E
01504,7,F
01505,7,E
01506,7,G
01507,7,F
01510,7,E
01515,7,H
01516,7,F
01519,7,E
01520,7,F
01523,7,F
01524,7,F
01526,7,F
01527,7,E
01532,7,D
01534,7,E
01540,7,E
01541,7,G
01543,7,G
01545,7,E
01550,7,F
01561,7,F
01562,7,F
01564,7,F
01566,7,F
01569,7,D
01570,7,E
01571,7,G
01580,7,D
01581,7,D
01582,7,D
01583,7,F
01585,7,H
01586,7,E
01587,7,D
01588,7,D
01590,7,F
01600,7,E
01601,7,E
01602,7,E
01603,7,E
01604,7,E
01605,7,E
01606,7,E
01607,7,E
01608,7,E
01609,7,E
01610,7,E
01611,7,F
01612,7,G
01613,7,E
01614,7,E
01615,7,E
01654,7,E
01655,7,E
01701,7,C
01702,7,C
01718,7,D
01719,7,D
01720,7,D
01721,7,D
01730,7,C
01731,7,C
01740,7,E
01741,7,C
01742,7,C
01745,7,D
01746,7,D
01747,7,D
01748,7,D
01749,7,E
01752,7,D
01754,7,D
01756,7,E
01757,7,E
01760,7,C
01770,7,C
01772,7,D
01773,7,C
01775,7,D
01776,7,C
01778,7,C
01784,7,F
01801,7,B
01803,7,B
01805,7,B
01810,7,C
01821,7,C
01822,7,C
01824,7,D
01826,7,D
01827,7,E
01830,7,D
01831,7,D
01832,7,D
01833,7,D
